,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
560,Dennis Schröder,PG,26,OKC,64,1,30.8,7.0,14.9,.469,1.9,5.0,.379,5.1,9.9,.515,.533,3.1,3.7,.838,0.3,3.4,3.7,4.0,0.7,0.2,2.6,2.2,18.9
561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Mike Scott,PF,31,PHI,65,10,17.6,2.1,5.1,.410,1.1,3.2,.356,0.9,1.9,.504,.523,0.4,0.5,.833,0.9,2.6,3.6,0.8,0.3,0.1,0.4,1.4,5.7
563,Thabo Sefolosha,PF,35,HOU,41,0,10.6,0.9,2.2,.407,0.4,1.3,.278,0.5,0.9,.595,.489,0.1,0.2,.375,0.5,1.8,2.3,0.6,0.6,0.3,0.4,1.0,2.2
564,Collin Sexton,SG,21,CLE,65,65,33.0,7.9,16.7,.472,1.5,3.9,.380,6.4,12.8,.501,.517,3.5,4.1,.846,0.9,2.2,3.1,3.0,1.0,0.1,2.4,2.2,20.8
565,Landry Shamet,SG,22,LAC,53,30,27.4,3.0,7.4,.404,2.1,5.6,.375,0.9,1.8,.495,.546,1.2,1.4,.855,0.1,1.8,1.9,1.9,0.4,0.2,0.8,2.7,9.3
566,Marial Shayok,SG,24,PHI,2,0,5.0,0.5,2.5,.200,0.5,1.5,.333,0.0,1.0,.000,.300,0.0,0.0,,0.0,1.5,1.5,0.5,0.0,0.0,0.5,0.0,1.5
567,Iman Shumpert,SG,29,BRK,13,0,18.5,1.6,4.9,.328,0.6,2.5,.242,1.0,2.4,.419,.391,0.3,0.5,.571,0.7,1.9,2.6,0.9,0.9,0.2,0.8,1.6,4.2
568,Pascal Siakam,PF,25,TOR,58,58,35.4,8.4,18.5,.456,2.2,6.1,.364,6.2,12.4,.501,.516,4.0,5.0,.801,1.0,6.3,7.3,3.5,1.0,0.9,2.5,2.9,23.1
569,Chris Silva,PF,23,MIA,42,0,7.3,1.0,1.6,.623,0.0,0.0,.000,1.0,1.6,.642,.623,0.8,1.2,.694,1.3,1.3,2.6,0.5,0.2,0.4,0.7,1.9,2.9
570,Ben Simmons,PG,23,PHI,57,57,35.4,6.6,11.4,.580,0.0,0.1,.286,6.5,11.2,.583,.581,3.2,5.2,.621,2.0,5.8,7.8,8.0,2.1,0.6,3.5,3.3,16.4
571,Anfernee Simons,SG,20,POR,69,4,21.0,3.1,7.8,.400,1.1,3.3,.333,2.0,4.5,.448,.470,1.1,1.3,.826,0.4,1.8,2.2,1.4,0.4,0.1,0.9,2.0,8.4
572,Alen Smailagić,PF,19,GSW,14,0,9.9,1.4,2.9,.500,0.2,0.9,.231,1.2,1.9,.630,.538,1.1,1.4,.842,0.7,1.2,1.9,0.9,0.2,0.3,0.8,1.0,4.2
573,Marcus Smart,SG,25,BOS,59,40,32.1,4.3,11.4,.375,2.3,6.6,.345,2.0,4.8,.415,.475,2.1,2.5,.832,0.7,3.1,3.8,4.8,1.7,0.5,1.7,2.7,13.0
574,Dennis Smith Jr.,PG,22,NYK,34,3,15.8,2.1,6.2,.341,0.5,1.6,.296,1.6,4.6,.357,.379,0.8,1.6,.509,0.6,1.7,2.3,2.9,0.8,0.2,1.7,1.9,5.5
575,Ish Smith,PG,31,WAS,66,23,26.2,4.5,10.0,.446,0.9,2.5,.365,3.5,7.5,.474,.492,0.9,1.2,.720,0.5,2.8,3.2,4.9,0.9,0.4,1.3,1.5,10.8
576,J.R. Smith,SG,34,LAL,5,0,10.8,0.4,2.4,.167,0.0,1.6,.000,0.4,0.8,.500,.167,0.4,0.4,1.000,0.0,0.8,0.8,0.2,0.2,0.0,0.6,0.6,1.2
577,Zhaire Smith,SG,20,PHI,7,0,4.6,0.4,1.6,.273,0.0,0.4,.000,0.4,1.1,.375,.273,0.3,0.6,.500,0.0,0.3,0.3,0.3,0.4,0.0,0.3,0.6,1.1
